ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood,,,,,,,
4001;Oak;35;37;2;0,33;4;10;29,97;26,3;33;6,7;1,12;13;,,
4002;Beech;28;30;2;0,33;4;15;28,2;26;28,3;2,3;0,38;3,4;,
4003;Beech;16;16;0;0,00;4;15;28,7;14,7;17,5;2,8;0,47;6,1;
4004;Beech;45;47;2;0,33;4;30;24,7;30;33,7;3,7;0,62;10;,,
4005;Beech;14;15;1;0,17;4;22;22,4;15,6;16,8;1,2;0,20;3,3;
4006;Beech;24;25;1;0,17;4;32;22,3;25,9;29,1;3,2;0,53;13,5;
4007;Beech;29;30;1;0,17;4;40;22,4;28,6;32,5;3,9;0,65;14,5;
4008;Beech;38;38;0;0,00;4;48;24,8;29,6;34,7;5,1;0,85;9,1;
4009;Beech;10;10;0;0,00;4;55;21,4;14,5;15,1;0,6;0,10;1,9;
4010;Beech;14;14;0;0,00;4;60;20,3;17;19,4;2,4;0,40;1,8;,
4011;Beech;20;21;1;0,17;4;66;20;19,7;20,7;1,0;0,17;10;,,
4012;Beech;50;53;3;0,50;4;78;20,2;29,8;35,4;5,6;0,93;8,9;
4013;Beech;20;20;0;0,00;4;85;21,4;19,9;21,3;1,4;0,23;1,1;
4014;Beech;41;43;2;0,33;4;95;25;29,3;31,2;1,9;0,32;13;,,
4015;Beech;11;11;0;0,00;4;96;28,8;12;9,3;-2,7;-0,45;0,8;,
4016;Spruce;48;49;1;0,17;4;105;30;32,6;33,6;1,0;0,17;20;,,
4017;Beech;36;37;1;0,17;4;114;27;28,4;29,4;1,0;0,17;11,8;,
4018;Beech;13;13;0;0,00;4;117;28;10,8;10,8;0,0;0,00;4,6;,
4019;Spruce;32;32;0;0,00;4;101;26;26,8;28,4;1,6;0,27;15,3;,
4020;Beech;26;29;3;0,50;4;105;23,7;27,3;29,6;2,3;0,38;14,8;
4021;Spruce;50;;;;4;97;22;32,1;;;;20,4;1,,,,,
4022;Beech;21;22;1;0,17;4;83;19,5;25,8;29,6;3,8;0,63;11,1;
4023;Beech;15;15;0;0,00;4;58;18,1;19,1;19,5;0,4;0,07;11;,
4024;Beech;10;11;1;0,17;4;55;17,4;14,4;16,6;2,2;0,37;2,4;
4025;Beech;9;10;1;0,17;4;10;30,4;7,7;8,2;0,5;0,08;1,9;
4026;Beech;7;7;0;0,00;4;355;25,4;8,2;11;2,8;0,47;2;,,
4027;Beech;12;13;1;0,17;4;355;24,2;13,5;16,6;3,1;0,52;1,8;
4028;Spruce;54;54;0;0,00;4;350;24,9;31,5;33,1;1,6;0,27;16,9;
4029;Spruce;44;46;2;0,33;4;344;24,5;31,9;36,3;4,4;0,73;14,7;
4030;Spruce;18;18;0;0,00;4;347;21,8;20,5;21,4;0,9;0,15;11,6;
4031;Spruce;39;41;2;0,33;4;354;19,6;31,3;33,7;2,4;0,40;16,7;
4032;Spruce;39;42;3;0,50;4;0;20,5;31,9;34;2,1;0,35;16,3;,
4033;Spruce;53;;;;4;6;17,5;31,5;;;;17,4;,,,,
4034;Beech;26;28;2;0,33;4;3;15,8;28,7;29,8;1,1;0,18;8,2;
4035;Beech;20;23;3;0,50;4;11;14,4;27,4;29,5;2,1;0,35;14;,
4036;Beech;20;20;0;0,00;4;19;13;23,4;27,5;4,1;0,68;10,9;,
4037;Beech;13;14;1;0,17;4;11;12,8;17,4;19,3;1,9;0,32;6,3;
4038;Beech;41;43;2;0,33;4;25;16,9;28,7;34,8;6,1;1,02;10;,
4039;Pine;33;35;2;0,33;4;35;13,7;32,3;34,8;2,5;0,42;26,9;
4040;Pine;38;38;0;0,00;4;25;10,7;28,8;29;0,2;0,03;21,8;,
4041;Beech;12;;;;4;60;11,3;17,5;;;;2,9;1,,,,
4042;Pine;38;38;0;0,00;4;68;12;32;32,7;0,7;0,12;24,9;,,
4043;Beech;45;48;3;0,50;4;102;16,7;30,2;34,6;4,4;0,73;14;,
4044;Beech;15;15;0;0,00;4;110;16,2;17,3;19,4;2,1;0,35;3,2;
4045;Beech;14;14;0;0,00;4;115;19,9;19,1;22,1;3,0;0,50;1,6;
4046;Beech;25;26;1;0,17;4;130;22,2;26,4;26,9;0,5;0,08;15,7;
4047;Beech;25;28;3;0,50;4;127;20,1;26,7;27,4;0,7;0,12;1,1;
4048;Beech;11;12;1;0,17;4;134;22,4;9,7;9,7;0,0;0,00;1,3;
4049;Spruce;62;;;;4;143;22,9;35,2;;;;19,7;,,,,
4050;Beech;41;45;4;0,67;4;147;20,2;30,9;33,2;2,3;0,38;13,2;
4051;Beech;10;10;0;0,00;4;138;17,6;15;15;0,0;0,00;6,2;,,
4052;Beech;30;32;2;0,33;4;135;15,7;27,8;29,9;2,1;0,35;6,8;
4053;Beech;15;16;1;0,17;4;143;14,3;18,6;20,3;1,7;0,28;11;,
4054;Beech;21;22;1;0,17;4;117;13,8;29,9;30,2;0,3;0,05;14,1;
4055;Beech;10;10;0;0,00;4;118;10,6;15,1;15,6;0,5;0,08;1,4;
4056;Beech;49;52;3;0,50;4;115;10,8;31,1;32,6;1,5;0,25;8,8;
4057;Beech;11;12;1;0,17;4;104;10,8;14,7;16,5;1,8;0,30;1;,
4058;Pine;35;35;0;0,00;4;75;9,8;32,8;33,3;0,5;0,08;20,6;
4059;Spruce;23;24;1;0,17;4;63;7,6;19,4;22,5;3,1;0,52;10,8;
4060;Pine;34;34;0;0,00;4;70;5,8;26,1;26,7;0,6;0,10;21,4;
4061;Beech;37;41;4;0,67;4;43;5,2;31,2;33,3;2,1;0,35;9,7;
4062;Beech;20;22;2;0,33;4;32;8,2;24,8;25,4;0,6;0,10;11,2;
4063;Pine;26;26;0;0,00;4;-16;12,2;24,4;25,4;1,0;0,17;18,9;
4064;Pine;34;34;0;0,00;4;-12;14,2;29,8;30,9;1,1;0,18;23,8;
4065;Beech;16;17;1;0,17;4;-8;15;19,8;20,1;0,3;0,05;2,7;,
4066;Beech;16;17;1;0,17;4;338;17,2;13,7;15,3;1,6;0,27;3,2;
4067;Spruce;44;46;2;0,33;4;331;18,6;32;33,6;1,6;0,27;13,7;,
4068;Pine;29;;;;4;326;18,5;19;;;;;1,,,,,,
4069;Pine;26;;;;4;318;16,1;23;;;;19,6;1,,,,,
4070;Spruce;15;;;;4;318;14,8;14,8;;;;6,4;1,,,,
4071;Beech;13;14;1;0,17;4;326;14,2;15,4;16,6;1,2;0,20;1,7;
4072;Pine;37;38;1;0,17;4;305;13,5;32,7;35;2,3;0,38;22;,,
4073;Beech;8;8;0;0,00;4;312;10,1;10,2;11,2;1,0;0,17;3;,
4074;Beech;17;18;1;0,17;4;333;8,8;17,3;18,2;0,9;0,15;6,1;
4075;Spruce;56;;;;4;325;7;33,5;;;;18,8;1,,,,,
4076;Beech;34;38;4;0,67;4;300;9,7;27,9;29,6;1,7;0,28;10,6;
4077;Beech;49;51;2;0,33;4;316;1,9;31,3;33,7;2,4;0,40;8,1;
4078;Spruce;53;53;0;0,00;4;182;2,2;34,2;36,4;2,2;0,37;20,5;
4079;Beech;14;15;1;0,17;4;158;2,3;21;22,7;1,7;0,28;0,8;,
4080;Beech;26;28;2;0,33;4;156;3,4;24,4;27,5;3,1;0,52;2,9;
4081;Spruce;45;47;2;0,33;4;67;7,2;31,2;34,7;3,5;0,58;17,6;
4082;Spruce;36;;;;4;168;15,3;33;;;;17,4;,,,,,
4083;Beech;29;30;1;0,17;4;161;21,2;29;31,3;2,3;0,38;7,4;,
4084;Beech;18;21;3;0,50;4;167;23,5;25,8;27,9;2,1;0,35;1,3;
4085;Spruce;64;;;;4;172;25,3;35,7;;;;18,7;,,,,
4086;Beech;49;52;3;0,50;4;179;25,6;33,8;36,6;;0,47;16,2;,
4087;Beech;31;35;4;0,67;4;174;17,9;31,3;33,6;2,3;0,38;12,2;
4088;Beech;15;16;1;0,17;4;189;20,5;19,1;20,5;1,4;0,23;1,9;
4089;Spruce;49;;;;4;183;14,3;32,3;;;;19,3;,,,,
4090;Beech;35;38;3;0,50;4;182;11,9;28,1;30,4;2,3;0,38;10,6;
4091;Beech;33;37;4;0,67;4;205;12,6;29,6;36,5;6,9;1,15;8,8;
4092;Beech;10;11;1;0,17;4;205;13,6;10,7;12,5;1,8;0,30;0,9;
4093;Beech;11;12;1;0,17;4;199;13,9;12,3;10,5;-1,8;-0,30;2,2;
4094;Pine;35;35;0;0,00;4;192;16,7;29,4;30;0,6;0,10;24,5;,
4095;Pine;35;37;2;0,33;4;206;18,1;31,7;32,1;0,4;0,07;22,1;
4096;Spruce;23;24;1;0,17;4;214;17,9;22,3;25,3;3,0;0,50;8,9;
