ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood
2044;Beech;7;8;1;0,17;2;115;17,5;15,1;8,1;-7;-1,17;1,3;
2077;Beech;7;8;1;0,17;2;151;18,7;5,2;8;2,8;0,47;1,4;
2033;Beech;8;9;1;0,17;2;111;28,7;9,3;9,9;0,6;0,1;2,1;
2037;Beech;8;8;0;0;2;124;24,8;13,2;13,5;0,3;0,05;1,3;
2078;Beech;8;8;0;;2;156;19,6;15,3;15,3;0;0;2;1
2102;Beech;8;9;1;0,17;2;283;23,6;9,9;9,9;0;0;2,2;
2011;Beech;9;9;0;0;2;28;27,4;13,2;13,3;0,1;0,02;1,8;
2025;Beech;9;9;0;0;2;85;22,2;10,2;10,3;0,1;0,02;1,6;
2036;Spruce;9;10;1;0,17;2;119;27,4;7,3;7,8;0,5;0,08;3,4;
2038;Beech;9;9;0;0;2;126;24,4;11,8;12;0,2;0,03;1,3;
2042;Beech;9;10;1;0,17;2;125;20,2;10,9;12,5;1,6;0,27;1,4;
2113;Beech;9;9;0;0;2;253;12,4;12,6;13;0,4;0,07;1,3;
2124;Beech;9;9;0;0;2;206;19,6;12,6;13,8;1,2;0,2;0,9;
2019;Beech;10;10;0;0;2;75;21,2;11,7;12;0,3;0,05;3,3;
2126;Beech;10;11;1;0,17;2;196;24,1;13,3;14,3;1;0,17;4;
2022;Beech;11;11;0;0;2;80;17,8;17,5;17,8;0,3;0,05;6,9;
2100;Beech;11;12;1;0,17;2;280;27,9;11,4;11,6;0,2;0,03;1,2;
2002;Beech;12;13;1;0,17;2;8;26,4;16,8;17,8;1;0,17;3;
2005;Beech;12;12;0;0;2;13;22,1;16,2;17;0,8;0,13;3,2;
2012;Beech;12;12;0;0;2;31;23,5;14,3;15,1;0,8;0,13;2,5;
2073;Beech;12;12;0;0;2;160;16,5;16,1;16,5;0,4;0,07;1,4;
2082;Beech;12;12;0;0;2;184;18,1;11;12,7;1,7;0,28;1,7;
2088;Beech;12;12;0;0;2;244;5,7;15,1;15,7;0,6;0,1;1,5;
2115;Beech;12;12;0;0;2;253;17,1;14,2;14,5;0,3;0,05;1,6;
2129;Beech;12;13;1;0,17;2;198;29,8;16,1;17,8;1,7;0,28;2,2;
2043;Beech;13;13;0;0;2;119;21,3;16,9;17,7;0,8;0,13;6,7;
2072;Beech;13;14;1;0,17;2;150;16,5;15,7;16;0,3;0,05;0,9;
2079;Beech;13;14;1;0,17;2;152;21,5;20,5;20,9;0,4;0,07;1,2;
2083;Beech;13;13;0;0;2;190;16,7;18,3;19,9;1,6;0,27;10,4;
2117;Beech;13;13;0;0;2;239;15,8;18,1;18,8;0,7;0,12;4,7;
2120;Beech;13;13;0;0;2;233;16;14,8;16,2;1,4;0,23;1,5;
2021;Beech;14;14;0;0;2;72;17;20,3;21,2;0,9;0,15;2,2;
2070;Beech;14;14;0;0;2;138;12,9;14,3;14,3;0;0;2;1
2075;Beech;14;14;0;0;2;167;19;13,9;14;0,1;0,02;1,4;
2064;Beech;15;15;0;0;2;331;12,7;16,8;17,2;0,4;0,07;1,8;
2096;Beech;15;16;1;0,17;2;319;23,1;18,8;22;3,2;0,53;1,5;
2097;Beech;15;17;2;0,33;2;306;24,4;18,2;19,9;1,7;0,28;3,2;
2111;Beech;15;16;1;0,17;2;264;13,8;21,9;24,5;2,6;0,43;5,3;
2123;Beech;15;15;0;0;2;218;24,4;23,7;24,6;0,9;0,15;1,7;
2013;Beech;16;17;1;0,17;2;47;24;17,7;18,2;0,5;0,08;2,1;
2017;Beech;16;16;0;0;2;51;23,6;22,2;23;0,8;0,13;2,1;
2028;Beech;16;17;1;0,17;2;92;21,3;19,8;20;0,2;0,03;1,8;
2084;Beech;16;16;0;0;2;189;12,3;22,9;23,8;0,9;0,15;8,1;
2093;Beech;16;16;0;0;2;322;22;17,5;18,7;1,2;0,2;1,3;
2118;Beech;16;17;1;0,17;2;225;12,9;17,5;18,2;0,7;0,12;1,4;
2027;Beech;17;17;0;0;2;89;17,7;19,7;22;2,3;0,38;5,6;
